okato,mrot,all_count,all_number_of_respondents,all_number_of_sources,all_salary,young_count,young_number_of_respondents,young_number_of_sources,young_salary,medium_count,medium_number_of_respondents,medium_number_of_sources,medium_salary,old_count,old_number_of_respondents,old_number_of_sources,old_salary,gndr
75,19242,1858897,1587592,1920442,655730,279014,251165,338752,90,961149,793657,910901,570607,618734,542770,670789,85033,0
84,24052,111438,104624,146582,33147,27424,26414,34501,1,56848,52339,69818,29612,27166,25871,42263,3534,0
93,19242,177606,167435,195501,54717,53916,51125,61948,8,97753,91703,104445,50070,25937,24607,29108,4639,0
95,30787,289018,235490,258498,85229,55142,46728,49617,9,148246,114855,124846,74747,85630,73907,84035,10473,0
1,21076,1174154,1042323,1239316,349640,194506,179707,205669,77,568496,486457,554055,311620,411152,376159,479592,37943,0
4,19242,1529571,1325448,1558408,560288,244697,227639,247045,85,826336,690953,767405,490045,458538,406856,543958,70158,0
25,19242,1281587,1098783,1217508,427038,227683,203029,214383,51,665857,556793,607019,372799,388047,338961,396106,54188,0
32,27803,1411022,1308859,1459923,547018,221397,212544,220858,34,726507,663375,721882,477376,463118,432940,517183,69608,0
50,24058,1516724,1182430,1326889,459321,233653,198107,206590,66,803460,597263,655150,399143,479611,387060,465149,60112,0
52,22128,1001767,884414,977467,327286,154968,149442,159698,31,511120,434413,471778,285923,335679,300559,345991,41332,0
69,19242,565815,450407,525722,172606,91378,80837,86643,16,304406,226494,259455,149427,170031,143076,179624,23163,0
81,28863,519756,481918,531456,165713,114521,108404,116834,28,268276,243247,264050,146532,136959,130267,150572,19153,0
98,48105,514731,436568,513315,183797,117303,102501,110926,30,284099,236650,274368,155895,113329,97417,128021,27872,0
78,19242,530256,458751,509047,169578,105058,95199,101063,17,279632,237244,259061,149908,145566,126308,148923,19653,0
30,50029,149332,131834,155497,63716,27639,24857,26666,21,81915,71023,81147,53378,39778,35954,47684,10317,0
5,28863,980440,725523,810234,303063,141554,112333,116973,54,520105,370770,401931,255238,318781,242420,291330,47771,0
8,44257,683691,540166,596077,241354,108903,97272,100633,56,369803,281623,306400,204950,204985,161271,189044,36348,0
10,30787,403956,383359,421729,160665,67159,66394,69539,29,220861,206148,222233,142616,115936,110817,129957,18020,0
44,48105,69944,66041,77391,37380,11240,10557,10792,2,39966,37623,42469,30366,18738,17861,24130,7012,0
64,30787,243804,229818,261374,115687,37086,35806,36792,26,132088,123157,136622,95492,74630,70855,87960,20169,0
99,19242,79849,73259,80930,30401,13836,13363,13925,11,42090,37639,40672,26103,23923,22257,26333,4287,0
77,19242,23882,23752,29474,12942,5205,5194,5850,1,14175,14069,16937,10696,4502,4489,6687,2245,0
14,19242,713518,631584,687602,320753,126742,113060,118786,60,453917,398843,429564,303610,132859,119681,139252,17083,1
15,19242,535241,486091,572513,232051,92960,87263,98145,28,345546,310656,361520,221657,96735,88172,112848,10366,1
17,19242,611650,561022,598558,291129,101652,96524,100439,36,395638,358607,376625,273987,114360,105891,121494,17106,1
20,19242,1066160,1015502,1092129,526846,172303,167892,175191,131,692268,655324,697841,495926,201589,192286,219097,30789,1
24,19242,415324,380795,419715,189973,72410,68240,72810,23,266919,241151,259310,181304,75995,71404,87595,8646,1
29,19242,507146,463689,506943,250951,90076,86682,92026,67,330134,296804,319109,233795,86936,80203,95808,17089,1
